Date,Time,Temp,CO2,Noise,Brightness,Relative-humidity,Motion,Nr-People,Lights-on/off,External-noise,Internal-noise,Door-open,Nr-Windows,Lecture,Nr-Computers,Weekday,Vents-on/off
2017-09-08,10:57,23.9976803809,463,39.7258821753,48.42,29.0562812843,1,4,On,VeryLow,Moderate,No,1,No,5,0,On
2017-09-08,11:02,24.0077524112,464,40.1312223234,48.06,28.8243193749,1,4,On,VeryLow,Moderate,No,1,No,5,0,On
2017-09-08,11:07,24.0178244415,466,45.1075910485,47.34,28.958613112,1,5,On,VeryLow,High,No,1,No,6,0,On
2017-09-08,11:12,24.037968502,466,45.5880441493,48.06,28.6778171163,1,5,On,VeryLow,High,No,1,No,6,0,On
2017-09-08,11:17,24.0480405323,468,40.1312223234,47.7,28.8243193749,1,3,On,VeryLow,Moderate,No,1,No,6,0,On
2017-09-08,11:22,24.0480405323,469,40.1312223234,47.7,28.6289830302,1,3,On,VeryLow,Moderate,No,1,No,6,0,On
2017-09-08,11:27,24.0480405323,471,40.1312223234,46.98,28.5862532047,1,3,On,VeryLow,Moderate,No,1,No,6,0,On
2017-09-08,11:32,24.0681845928,471,40.1312223234,47.34,28.3542912953,1,5,On,VeryLow,Low,No,1,No,6,0,On
2017-09-08,11:37,24.0681845928,470,40.5219267299,46.98,28.1589549506,1,7,On,VeryLow,Moderate,No,1,No,8,0,On
2017-09-08,11:42,24.0782566231,472,52.3321862253,46.26,28.2261018191,1,7,On,VeryLow,Moderate,No,1,No,8,0,On
2017-09-08,11:47,24.0782566231,474,40.1312223234,46.26,28.281040166,1,7,On,VeryLow,Moderate,No,1,No,8,0,On
2017-09-08,11:52,24.0681845928,475,40.1312223234,46.62,28.4458552069,1,7,On,VeryLow,Moderate,No,1,No,8,0,On
2017-09-08,11:57,24.0681845928,476,44.8583421839,45.54,28.0979123428,1,7,On,VeryLow,Moderate,No,1,No,8,0,On
2017-09-08,12:02,24.0681845928,476,50.5843527736,45.18,28.1345379075,1,7,On,VeryLow,Moderate,No,1,No,8,0,On
2017-09-08,12:07,24.0480405323,476,40.1312223234,45,27.9514100842,1,7,On,VeryLow,Moderate,No,1,No,8,0,On
2017-09-08,12:12,24.0480405323,476,40.1312223234,46.98,27.9758271273,1,6,On,VeryLow,Moderate,No,1,No,8,0,On
2017-09-08,12:17,24.0681845928,476,45.5880441493,45.36,28.1833719937,1,6,On,VeryLow,Moderate,No,1,No,8,0,On
2017-09-08,12:22,24.0480405323,476,65.2184753156,45.54,28.3787083384,1,6,On,VeryLow,Moderate,No,1,No,8,0,On
2017-09-08,12:27,24.0681845928,476,40.1312223234,45.9,27.8537419119,1,4,On,VeryLow,Low,No,1,No,8,0,On
2017-09-08,12:32,24.0480405323,477,39.7258821753,45.54,27.768282261,1,5,On,VeryLow,Low,No,1,No,8,0,On
2017-09-08,12:37,24.0480405323,477,40.1312223234,46.44,27.7438652179,1,7,On,VeryLow,Low,No,1,No,8,0,On
2017-09-08,12:42,24.0480405323,477,43.5098061426,45.54,27.8171163472,1,8,On,VeryLow,Moderate,No,1,No,8,0,On
2017-09-08,12:47,24.0883286534,477,50.0150839464,46.26,27.5485288732,1,8,On,VeryLow,Moderate,No,1,No,8,0,On
2017-09-08,12:52,24.108472714,477,54.6077561408,46.08,27.5973629593,1,7,On,VeryLow,High,No,1,No,8,0,On
2017-09-08,12:57,24.1185447442,478,61.8864126235,45.9,27.3592967892,1,6,On,VeryLow,High,No,1,No,7,0,On
