Date,Time,Temp,CO2,Noise,Brightness,Relative-humidity,Motion,Nr-People,Lights-on/off,External-noise,Internal-noise,Door-open,Nr-Windows,Lecture,Nr-Computers,Weekday,Vents-on/off
9/8/2017,10:57,23.99768038,463,39.72588218,48.42,29.05628128,1,4,On,VeryLow,Moderate,No,1,No,5,0,On
9/8/2017,11:02,24.00775241,464,40.13122232,48.06,28.82431937,1,4,On,VeryLow,Moderate,No,1,No,5,0,On
9/8/2017,11:07,24.01782444,466,45.10759105,47.34,28.95861311,1,5,On,VeryLow,High,No,1,No,6,0,On
9/8/2017,11:12,24.0379685,466,45.58804415,48.06,28.67781712,1,5,On,VeryLow,High,No,1,No,6,0,On
9/8/2017,11:17,24.04804053,468,40.13122232,47.7,28.82431937,1,3,On,VeryLow,Moderate,No,1,No,6,0,On
9/8/2017,11:22,24.04804053,469,40.13122232,47.7,28.62898303,1,3,On,VeryLow,Moderate,No,1,No,6,0,On
9/8/2017,11:27,24.04804053,471,40.13122232,46.98,28.5862532,1,3,On,VeryLow,Moderate,No,1,No,6,0,On
9/8/2017,11:32,24.06818459,471,40.13122232,47.34,28.3542913,1,5,On,VeryLow,Low,No,1,No,6,0,On
9/8/2017,11:37,24.06818459,470,40.52192673,46.98,28.15895495,1,7,On,VeryLow,Moderate,No,1,No,8,0,On
9/8/2017,11:42,24.07825662,472,52.33218623,46.26,28.22610182,1,7,On,VeryLow,Moderate,No,1,No,8,0,On
9/8/2017,11:47,24.07825662,474,40.13122232,46.26,28.28104017,1,7,On,VeryLow,Moderate,No,1,No,8,0,On
9/8/2017,11:52,24.06818459,475,40.13122232,46.62,28.44585521,1,7,On,VeryLow,Moderate,No,1,No,8,0,On
9/8/2017,11:57,24.06818459,476,44.85834218,45.54,28.09791234,1,7,On,VeryLow,Moderate,No,1,No,8,0,On
9/8/2017,12:02,24.06818459,476,50.58435277,45.18,28.13453791,1,7,On,VeryLow,Moderate,No,1,No,8,0,On
9/8/2017,12:07,24.04804053,476,40.13122232,45,27.95141008,1,7,On,VeryLow,Moderate,No,1,No,8,0,On
9/8/2017,12:12,24.04804053,476,40.13122232,46.98,27.97582713,1,6,On,VeryLow,Moderate,No,1,No,8,0,On
9/8/2017,12:17,24.06818459,476,45.58804415,45.36,28.18337199,1,6,On,VeryLow,Moderate,No,1,No,8,0,On
9/8/2017,12:22,24.04804053,476,65.21847532,45.54,28.37870834,1,6,On,VeryLow,Moderate,No,1,No,8,0,On
9/8/2017,12:27,24.06818459,476,40.13122232,45.9,27.85374191,1,4,On,VeryLow,Low,No,1,No,8,0,On
